product_id,product_name,category,brand,price,description,image_path,stock_status,rating,created_at
product_001,AeroSound Wireless Headphones,electronics,AeroSound,79.99,Over-ear wireless headphones with cushioned ear cups,images/product_001.jpg,in_stock,4.6,2026-01-05T09:00:00Z
product_002,VoltEdge Smart Fitness Watch,electronics,VoltEdge,129.50,Fitness watch with activity tracking and heart-rate monitoring,images/product_002.jpg,in_stock,4.4,2026-01-06T09:30:00Z
product_003,Northline Everyday Backpack,fashion,Northline,48.00,Lightweight backpack with padded laptop compartment,images/product_003.jpg,in_stock,4.2,2026-01-07T10:00:00Z
product_004,UrbanWeave Cotton Hoodie,fashion,UrbanWeave,42.75,Soft cotton-blend hoodie for casual everyday wear,images/product_004.jpg,low_stock,4.1,2026-01-08T10:30:00Z
product_005,HearthCraft Ceramic Mug Set,home,HearthCraft,24.99,Set of four durable ceramic mugs for hot drinks,images/product_005.jpg,in_stock,4.7,2026-01-09T11:00:00Z
product_006,LumaHome Desk Lamp,home,LumaHome,36.40,Adjustable LED desk lamp with three brightness levels,images/product_006.jpg,out_of_stock,4.3,2026-01-10T11:30:00Z
product_007,PeakMotion Yoga Mat,sports,PeakMotion,31.25,Non-slip exercise mat with comfortable cushioning,images/product_007.jpg,in_stock,4.8,2026-01-11T12:00:00Z
product_008,StridePro Running Shoes,sports,StridePro,94.90,Breathable running shoes with responsive sole support,images/product_008.jpg,in_stock,4.5,2026-01-12T12:30:00Z
product_009,PureGlow Hydrating Face Cream,beauty,PureGlow,27.80,Lightweight daily moisturizer for balanced hydration,images/product_009.jpg,in_stock,4.0,2026-01-13T13:00:00Z
product_010,BloomCare Botanical Shampoo,beauty,BloomCare,18.60,Gentle botanical shampoo for regular hair care,images/product_010.jpg,out_of_stock,3.9,2026-01-14T13:30:00Z
product_011,Practical Data Thinking,books,Northstar Press,22.95,Accessible guide to making evidence-based decisions with data,images/product_011.jpg,in_stock,4.9,2026-01-15T14:00:00Z
product_012,Modern Home Cooking,books,Oakleaf Books,28.50,Collection of simple recipes for everyday home cooking,images/product_012.jpg,low_stock,4.6,2026-01-16T14:30:00Z
